City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,georgetown,5.4112,100.3354,25.96,67,20,2.57,MY,1738272789
344,miles city,46.4083,-105.8406,4.54,56,0,2.57,US,1738272790
345,east london,-33.0153,27.9116,24.04,91,73,5.34,ZA,1738272791
346,tarakan,3.3,117.6333,23.72,100,20,0.51,ID,1738272792
347,dapchi,12.4904,11.4944,19.5,23,53,3.93,NG,1738272794
348,kenora,49.8167,-94.4337,-0.46,69,75,3.09,CA,1738272795
349,kerikeri,-35.2268,173.9474,22.13,55,7,1.68,NZ,1738272796
350,san salvador,13.6894,-89.1872,30.48,74,20,4.12,SV,1738272797
351,luderitz,-26.6481,15.1594,17.05,84,9,4.65,NA,1738272799
352,shiyan,32.6475,110.7781,2.44,99,100,1.19,CN,1738272800
353,calamar,10.2511,-74.9146,34.2,41,77,7.0,CO,1738272801
354,kapuskasing,49.4169,-82.4331,-8.95,79,100,4.12,CA,1738272802
355,tadine,-21.55,167.8833,28.03,69,5,7.58,NC,1738272804
356,hornsby bend,30.2474,-97.5833,21.11,48,100,4.63,US,1738272805
357,minas de marcona,-15.2119,-75.1103,20.53,66,81,7.16,PE,1738272806
358,susuman,62.7833,148.1667,-41.58,99,57,0.38,RU,1738272807
359,yuzhno-kurilsk,44.0306,145.8556,-1.21,95,100,11.5,RU,1738272809
360,sisimiut,66.9395,-53.6735,-9.95,63,82,7.21,GL,1738272810
361,itanagar,27.1,93.6167,11.45,76,32,1.32,IN,1738272813
